age,balance,housing,contact,day,duration,campaign,previous,poutcome,response,balance_housing
58,2143,1,unknown,5,4.35,1,0,unknown,no,2143
44,29,1,unknown,5,2.52,1,0,unknown,no,29
33,2,1,unknown,5,1.27,1,0,unknown,no,2
47,1506,1,unknown,5,1.53,1,0,unknown,no,1506
33,1,0,unknown,5,3.3,1,0,unknown,no,0
35,231,1,unknown,5,2.32,1,0,unknown,no,231
28,447,1,unknown,5,3.62,1,0,unknown,no,447
42,2,1,unknown,5,6.33,1,0,unknown,no,2
58,121,1,unknown,5,0.83,1,0,unknown,no,121
43,593,1,unknown,5,0.92,1,0,unknown,no,593
41,270,1,unknown,5,3.7,1,0,unknown,no,270
29,390,1,unknown,5,2.28,1,0,unknown,no,390
53,6,1,unknown,5,8.62,1,0,unknown,no,6
58,71,1,unknown,5,1.18,1,0,unknown,no,71
57,162,1,unknown,5,2.9,1,0,unknown,no,162
51,229,1,unknown,5,5.88,1,0,unknown,no,229
45,13,1,unknown,5,1.63,1,0,unknown,no,13
57,52,1,unknown,5,0.63,1,0,unknown,no,52
60,60,1,unknown,5,3.65,1,0,unknown,no,60
33,0,1,unknown,5,0.9,1,0,unknown,no,0
28,723,1,unknown,5,4.37,1,0,unknown,no,723
56,779,1,unknown,5,2.73,1,0,unknown,no,779
32,23,1,unknown,5,2.67,1,0,unknown,no,23
25,50,1,unknown,5,5.7,1,0,unknown,no,50
40,0,1,unknown,5,3.02,1,0,unknown,no,0
44,-372,1,unknown,5,2.87,1,0,unknown,no,-372
39,255,1,unknown,5,4.93,1,0,unknown,no,255
52,113,1,unknown,5,2.12,1,0,unknown,no,113
46,-246,1,unknown,5,4.25,2,0,unknown,no,-246
36,265,1,unknown,5,5.8,1,0,unknown,no,265
57,839,0,unknown,5,3.75,1,0,unknown,no,0
49,378,1,unknown,5,3.83,1,0,unknown,no,378
60,39,1,unknown,5,3.47,1,0,unknown,no,39
59,0,1,unknown,5,3.77,1,0,unknown,no,0
51,10635,1,unknown,5,5.6,1,0,unknown,no,10635
57,63,1,unknown,5,4.03,1,0,unknown,no,63
25,-7,1,unknown,5,6.08,1,0,unknown,no,-7
53,-3,0,unknown,5,27.77,1,0,unknown,no,0
36,506,1,unknown,5,9.62,1,0,unknown,no,506
37,0,1,unknown,5,2.28,1,0,unknown,no,0
44,2586,1,unknown,5,2.67,1,0,unknown,no,2586
50,49,1,unknown,5,3,2,0,unknown,no,49
60,104,1,unknown,5,0.37,1,0,unknown,no,104
54,529,1,unknown,5,24.87,1,0,unknown,no,529
58,96,1,unknown,5,10.27,1,0,unknown,no,96
36,-171,1,unknown,5,4.03,1,0,unknown,no,-171
58,-364,1,unknown,5,5.92,1,0,unknown,no,-364
44,0,1,unknown,5,3.75,2,0,unknown,no,0
55,0,0,unknown,5,2.67,1,0,unknown,no,0
29,0,1,unknown,5,6.05,1,0,unknown,no,0
54,1291,1,unknown,5,4.43,1,0,unknown,no,1291
48,-244,1,unknown,5,4.22,1,0,unknown,no,-244
32,0,1,unknown,5,2.98,1,0,unknown,no,0
42,-76,1,unknown,5,13.12,1,0,unknown,no,-76
24,-103,1,unknown,5,2.42,1,0,unknown,no,-103
38,243,0,unknown,5,2.9,1,0,unknown,no,0
38,424,1,unknown,5,1.73,1,0,unknown,no,424
47,306,1,unknown,5,0.22,1,0,unknown,no,306
40,24,1,unknown,5,3.08,1,0,unknown,no,24
46,179,1,unknown,5,29.63,1,0,unknown,no,179
32,0,1,unknown,5,2.3,1,0,unknown,no,0
53,989,1,unknown,5,13.53,1,0,unknown,no,989
57,249,1,unknown,5,2.73,1,0,unknown,no,249
33,790,1,unknown,5,6.52,1,0,unknown,no,790
49,154,1,unknown,5,5.95,1,0,unknown,no,154
51,6530,1,unknown,5,1.52,1,0,unknown,no,6530
60,100,0,unknown,5,8.8,1,0,unknown,no,0
59,59,1,unknown,5,4.55,1,0,unknown,no,59
55,1205,1,unknown,5,2.63,2,0,unknown,no,1205
35,12223,1,unknown,5,2.95,1,0,unknown,no,12223
57,5935,1,unknown,5,4.3,1,0,unknown,no,5935
31,25,1,unknown,5,2.87,1,0,unknown,no,25
54,282,1,unknown,5,2.57,1,0,unknown,no,282
55,23,1,unknown,5,4.85,1,0,unknown,no,23
43,1937,1,unknown,5,3.02,1,0,unknown,no,1937
53,384,1,unknown,5,2.93,1,0,unknown,no,384
44,582,0,unknown,5,3.52,1,0,unknown,no,0
55,91,0,unknown,5,5.82,1,0,unknown,no,0
49,0,1,unknown,5,4.53,1,0,unknown,no,0
55,1,1,unknown,5,3.47,1,0,unknown,no,1
